Escenario,MAE,RMSE,Bias,Correlación,Clasificación,ax_scale,k1,k2
Baseline (Original),0.005527759714931958,0.006752816440981306,0.004733492849130103,0.9749140631606793,COINCIDEN BIEN,1.0,1.15,2.05
Corrección 1: Solo ax escalado,0.04346463101067415,0.04726015538109154,0.04346459474051916,0.9748351076589213,COINCIDEN BIEN,0.1,1.15,2.05
"Corrección 2: Solo k1, k2 ajustados",0.038138842179938265,0.04155351311275102,0.03813879579890991,0.9718554923162414,COINCIDEN BIEN,1.0,0.2581,-699.0948
"Corrección 3: ax escalado + k1, k2 ajustados",0.04683140380305862,0.05094357037590221,0.04683140223209905,0.6791132175414966,NO COINCIDEN BIEN,0.1,0.2581,-699.0948
